"","x1","x2","Type"
"TCGE-01-0216-30-A",2.65825079542774,7.85592178963897,"Bladder Cancer"
"TCGE-01-0217-30-A",4.02268921792813,6.0177796146666,"Bladder Cancer"
"TCGE-01-0218-30-A",1.39160166074398,7.12690618594977,"Bladder Cancer"
"TCGE-01-0219-30-A",3.16340948298417,6.07435184873533,"Bladder Cancer"
"TCGE-01-0220-30-A",-1.51792799086789,6.53986592605817,"Bladder Cancer"
"TCGE-01-0221-30-A",1.36079041846689,8.75107957380589,"Bladder Cancer"
"TCGE-01-0222-30-A",-2.18588781615012,6.62121449292862,"Bladder Cancer"
"TCGE-01-0223-30-A",0.226497787815406,8.49609351135314,"Bladder Cancer"
"TCGE-01-0224-30-A",0.243978423592345,7.12550438477262,"Bladder Cancer"
"TCGE-01-0226-30-A",3.4277340113717,6.78858468965206,"Bladder Cancer"
"TCGE-01-0227-30-A",-3.48885142684311,7.3938725922667,"Bladder Cancer"
"TCGE-01-0185-30-A",-5.98357870784364,2.53896994885462,"Breast Cancer"
"TCGE-01-0183-30-A",-3.53698991863063,3.49477066340523,"Breast Cancer"
"TCGE-01-0179-30-A",-5.50284809140133,1.14297297543967,"Breast Cancer"
"TCGE-01-0180-30-A",-2.6683102508017,1.3467436137909,"Breast Cancer"
"TCGE-01-0181-30-A",1.22352308594928,8.04550561650401,"Breast Cancer"
"TCGE-01-0164-30-A",-2.51501865089932,6.46424601982268,"Breast Cancer"
"TCGE-01-0184-30-A",-3.14326746094448,3.71659365938313,"Breast Cancer"
"TCGE-01-0166-30-A",-0.213047729914734,6.69555683533011,"Breast Cancer"
"TCGE-01-0175-30-A",-6.05554174289371,1.20776619659622,"Breast Cancer"
"TCGE-01-0169-30-A",-5.21603270101982,3.08110035261295,"Breast Cancer"
"TCGE-01-0176-30-A",-3.28988508453321,4.56077177243167,"Breast Cancer"
"TCGE-01-0186-30-A",0.736269997869277,7.20720954457106,"Breast Cancer"
"TCGE-01-0170-30-A",2.28926470300167,7.62768390705899,"Breast Cancer"
"TCGE-01-0171-30-A",-3.86191918332827,4.6093057337909,"Breast Cancer"
"TCGE-01-0172-30-A",-0.872882658808689,6.07732767753491,"Breast Cancer"
"TCGE-01-0173-30-A",-6.20606766948559,0.173082663583876,"Breast Cancer"
"TCGE-01-0168-30-A",-2.8290911374091,4.39848621267203,"Breast Cancer"
"TCGE-01-0177-30-A",-0.00498280459120481,7.06570548940017,"Breast Cancer"
"TCGE-01-0187-30-A",-5.18954147033309,4.065795563394,"Breast Cancer"
"TCGE-01-0163-30-A",-5.67575663186378,1.81548127745195,"Breast Cancer"
"TCGE-01-0174-30-A",-5.73321438710558,2.06802712801013,"Breast Cancer"
"TCGE-01-0178-30-A",2.14133461873321,6.39799030618375,"Breast Cancer"
"TCGE-01-0182-30-A",-2.54430285748976,0.090675020637238,"Breast Cancer"
"TCGE-01-0165-30-A",-3.09515798624818,4.48069734257558,"Breast Cancer"
"TCGE-01-0167-30-A",-5.44445640697164,3.95501105010062,"Breast Cancer"
"TCGE-01-0160-30-A",-3.08968246625354,2.70896676789199,"Colorectal Cancer"
"TCGE-01-0146-30-A",-1.22357022458243,3.83907284608288,"Colorectal Cancer"
"TCGE-01-0147-30-A",-5.44828241122095,5.55894803559853,"Colorectal Cancer"
"TCGE-01-0148-30-A",-5.46739938200058,2.45995720128663,"Colorectal Cancer"
"TCGE-01-0149-30-A",-1.68420025799509,4.24281770766594,"Colorectal Cancer"
"TCGE-01-0150-30-A",-3.96255692100581,4.61629391628163,"Colorectal Cancer"
"TCGE-01-0151-30-A",-2.85825300163361,7.44477254472595,"Colorectal Cancer"
"TCGE-01-0152-30-A",-3.24997933076735,3.54187013173069,"Colorectal Cancer"
"TCGE-01-0153-30-A",-1.96508641663984,7.84392924039213,"Colorectal Cancer"
"TCGE-01-0154-30-A",0.959968695994448,6.82159541925518,"Colorectal Cancer"
"TCGE-01-0155-30-A",1.65490029780008,6.69874105634609,"Colorectal Cancer"
"TCGE-01-0161-30-A",1.51207617048044,7.93180897512159,"Colorectal Cancer"
"TCGE-01-0156-30-A",-3.87445163121986,5.60226719691131,"Colorectal Cancer"
"TCGE-01-0157-30-A",-2.46616271250385,6.99147379029999,"Colorectal Cancer"
"TCGE-01-0158-30-A",-1.67152441084432,6.21566433781646,"Colorectal Cancer"
"TCGE-01-0159-30-A",-5.01126206317877,7.22978088005847,"Colorectal Cancer"
"TCGE-01-0162-30-A",-4.62331473169735,4.77257432910311,"Colorectal Cancer"
"TCGE-01-0140-30-A",-0.723345131170239,4.18399453500316,"Colorectal Cancer"
"TCGE-01-0141-30-A",-0.990305357344747,3.96823512156911,"Colorectal Cancer"
"TCGE-01-0142-30-A",-4.70978433561378,0.705871461565066,"Colorectal Cancer"
"TCGE-01-0143-30-A",-2.54860880437575,3.75462051092798,"Colorectal Cancer"
"TCGE-01-0144-30-A",-5.13810311091461,6.94110572860351,"Colorectal Cancer"
"TCGE-01-0145-30-A",-1.87502512933152,3.91447506779847,"Colorectal Cancer"
"TCGE-01-0001-17-A",1.44386068922704,-6.08358484688567,"Normal"
"TCGE-01-0010-17-A",-0.478375680688961,-8.41918664019457,"Normal"
"TCGE-01-0011-17-A",2.81644638086591,-5.19654959771243,"Normal"
"TCGE-01-0012-17-A",1.95269629276019,-4.26428096732475,"Normal"
"TCGE-01-0013-17-A",2.90871451019464,-5.03753378046751,"Normal"
"TCGE-01-0014-17-A",1.33134677634527,-3.85566117136876,"Normal"
